Counting, fetching started
913, spack:gmap-gsnap, c
914, spack:nanomsg, c
915, spack:amdblis, c
916, spack:vtk, c
917, spack:httpd, c
918, spack:libzip, c
919, spack:libpfm4, c
920, spack:amdlibflame, c
921, spack:openssl, c
922, spack:netcdf-c, c
923, spack:openresty, c
924, spack:amdlibflame, c
925, spack:nginx, c
926, spack:netlib-xblas, c
927, spack:aws-sdk-cpp, c
928, spack:libcint, c
929, spack:libflame, c
930, spack:xnnpack, c
931, spack:openssl, c
932, spack:eccodes, c
933, spack:libxsmm, c
934, spack:py-scipy, c
935, spack:simde, c
936, spack:chemfiles, c
937, spack:hypre, c
938, spack:amdlibflame, c
939, spack:libflame, c
940, spack:vtk, c
941, spack:amdlibflame, c
942, spack:sonlib, c
943, spack:amdlibflame, c
944, spack:libflame, c
945, spack:sundials, c
946, spack:libsamplerate, c
947, spack:libflame, c
948, spack:genometools, c
949, spack:suite-sparse, c
950, spack:eccodes, c
951, spack:libwebp, c
952, spack:gmap-gsnap, c
953, spack:openssl, c
954, spack:xnnpack, c
955, spack:genometools, c
956, spack:gmap-gsnap, c
957, spack:xnnpack, c
958, spack:cmdstan, c
959, spack:redis, c
960, spack:netlib-xblas, c
961, spack:vtk, c
962, spack:babeltrace, c
963, spack:genometools, c
964, spack:amdlibflame, c
965, spack:openssl, c
966, spack:su2, c
967, spack:aws-sdk-cpp, c
968, spack:xnnpack, c
969, spack:bam-readcount, c
970, spack:aws-sdk-cpp, c
971, spack:py-scipy, c
972, spack:libflame, c
973, spack:suite-sparse, c
974, spack:xnnpack, c
975, spack:libsolv, c
976, spack:amdlibflame, c
977, spack:yasm, c
978, spack:xnnpack, c
979, spack:netlib-xblas, c
980, spack:simde, c
981, spack:simde, c
982, spack:libflame, c
983, spack:vtk, c
984, spack:libsamplerate, c
985, spack:phist, c
986, spack:libflame, c
987, spack:genometools, c
988, spack:hypre, c
989, spack:samtools, c
990, spack:spdk, c
991, spack:amdlibflame, c
992, spack:libflame, c
993, spack:metis, c
994, spack:py-cython, c
995, spack:amdblis, c
996, spack:blis, c
997, spack:libflame, c
998, spack:libflame, c
999, spack:xnnpack, c
1000, spack:blis, c
1001, spack:bind9, c
1002, spack:amdlibflame, c
1003, spack:amdlibflame, c
1004, spack:libflame, c
1005, spack:z-checker, c
1006, spack:blis, c
1007, spack:xnnpack, c
1008, spack:vtk, c
1009, spack:vtk, c
1010, spack:itk, c
1011, spack:netlib-xblas, c
1012, spack:aws-sdk-cpp, c
1013, spack:libuv, c
1014, spack:py-pandas, c
1015, spack:libflame, c
1016, spack:bind9, c
1017, spack:amdlibflame, c
1018, spack:netlib-xblas, c
1019, spack:netcdf-c, c
1020, spack:lighttpd, c
1021, spack:hypre, c
1022, spack:amdlibflame, c
1023, spack:pcre2, c
1024, spack:vtk, c
1025, spack:libflame, c
1026, spack:su2, c
1027, spack:libflame, c
1028, spack:amdlibflame, c
1029, spack:libxml2, c
1030, spack:c-blosc2, c
1031, spack:amdlibflame, c
1032, spack:genometools, c
1033, spack:openresty, c
1034, spack:py-scipy, c
1035, spack:amdlibflame, c
1036, spack:libxsmm, c
1037, spack:blis, c
1038, spack:libpfm4, c
1039, spack:vtk, c
1040, spack:blis, c
1041, spack:spdk, c
1042, spack:simde, c
1043, spack:blis, c
1044, spack:openssl, c
1045, spack:py-scipy, c
1046, spack:xnnpack, c
1047, spack:openssl, c
1048, spack:amdlibflame, c
1049, spack:amdlibflame, c
1050, spack:libflame, c
1051, spack:su2, c
1052, spack:netlib-xblas, c
1053, spack:libflame, c
1054, spack:amdlibflame, c
1055, spack:redis, c
1056, spack:eccodes, c
1057, spack:amdlibflame, c
1058, spack:itk, c
1059, spack:sundials, c
1060, spack:amdblis, c
1061, spack:spdk, c
1062, spack:mstk, c
1063, spack:suite-sparse, c
1064, spack:amdlibflame, c
1065, spack:blis, c
1066, spack:py-scipy, c
1067, spack:py-pysam, c
1068, spack:flatcc, c
1069, spack:itk, c
1070, spack:redis, c
1071, spack:amdlibflame, c
1072, spack:openssl, c
1073, spack:amdblis, c
1074, spack:samtools, c
1075, spack:libflame, c
1076, spack:amdlibflame, c
1077, spack:ucx, c
1078, spack:libflame, c
1079, spack:libflame, c
1080, spack:nauty, c
1081, spack:openssl, c
1082, spack:gmap-gsnap, c
1083, spack:simde, c
1084, spack:perfstubs, c
1085, spack:libflame, c
1086, spack:hypre, c
1087, spack:genometools, c
1088, spack:spdk, c
1089, spack:amdlibflame, c
1090, spack:amdlibflame, c
1091, spack:openssl, c
1092, spack:vtk, c
1093, spack:apr, c
1094, spack:netlib-xblas, c
1095, spack:suite-sparse, c
1096, spack:hwloc, c
1097, spack:hypre, c
1098, spack:adiak, c
1099, spack:amdlibflame, c
1100, spack:simde, c
1101, spack:py-scipy, c
1102, spack:xnnpack, c
1103, spack:netlib-xblas, c
1104, spack:libflame, c
1105, spack:xnnpack, c
1106, spack:openssl, c
1107, spack:py-scipy, c
1108, spack:amdlibflame, c
1109, spack:staden-io-lib, c
1110, spack:blis, c
1111, spack:py-scipy, c
1112, spack:libflame, c
1113, spack:libpfm4, c
1114, spack:conserver, c
1115, spack:openssl, c
1116, spack:hwloc, c
1117, spack:amdlibflame, c
1118, spack:libflame, c
1119, spack:xnnpack, c
1120, spack:eccodes, c
1121, spack:amdlibflame, c
1122, spack:spdk, c
1123, spack:itk, c
1124, spack:amdlibflame, c
